vote_id,voting_scheme,limitation_dropped,num_voters,num_candidates,outcome,hapiness_list,overall_hapiness,strategic_voters,risk_of_strategic_voting,alternative_risk,pairs
0,Plurality,BTVA,5,4,"{'D': 3, 'A': 1, 'C': 1, 'B': 0}","[1.0, 0.46, 0.79, 1.0, 1.0]",4.25,[],"[0.04, 0.09, 0.03, 0.04, 0.03]",0,
1,Plurality,BTVA,5,4,"{'B': 3, 'A': 2, 'C': 0, 'D': 0}","[0.75, 1.0, 1.0, 1.0, 0.75]",4.5,"[1, 5]","[0.02, 0.04, 0.01, 0.03, 0.02]",0.13,
2,Plurality,BTVA,5,4,"{'C': 4, 'B': 1, 'A': 0, 'D': 0}","[1.0, 0.75, 1.0, 1.0, 1.0]",4.75,[],"[0.04, 0.02, 0.0, 0.01, 0.04]",0,
3,Plurality,BTVA,5,4,"{'B': 2, 'A': 1, 'C': 1, 'D': 1}","[0.58, 0.5, 0.75, 1.0, 1.0]",3.83,[2],"[0.05, 0.09, 0.02, 0.0, 0.03]",0.040000000000000036,
4,Plurality,BTVA,5,4,"{'A': 3, 'B': 1, 'D': 1, 'C': 0}","[0.5, 1.0, 1.0, 0.58, 1.0]",4.08,[],"[0.08, 0.03, 0.01, 0.07, 0.03]",0,
5,Plurality,BTVA,5,4,"{'B': 3, 'A': 1, 'C': 1, 'D': 0}","[1.0, 0.75, 1.0, 1.0, 0.5]",4.25,[],"[0.01, 0.02, 0.04, 0.01, 0.08]",0,
6,Plurality,BTVA,5,4,"{'A': 2, 'B': 1, 'C': 1, 'D': 1}","[0.58, 0.58, 1.0, 0.58, 1.0]",3.74,[],"[0.07, 0.05, 0.03, 0.06, 0.03]",0,
7,Plurality,BTVA,5,4,"{'A': 2, 'C': 2, 'B': 1, 'D': 0}","[0.75, 1.0, 0.58, 0.79, 1.0]",4.12,[],"[0.04, 0.03, 0.07, 0.03, 0.04]",0,
8,Plurality,BTVA,5,4,"{'B': 2, 'A': 1, 'C': 1, 'D': 1}","[0.5, 1.0, 1.0, 0.58, 0.58]",3.66,[1],"[0.09, 0.0, 0.01, 0.05, 0.07]",0.040000000000000036,
9,Plurality,BTVA,5,4,"{'B': 2, 'A': 1, 'C': 1, 'D': 1}","[1.0, 0.58, 0.67, 1.0, 0.42]",3.67,[5],"[0.0, 0.05, 0.05, 0.03, 0.1]",0.08000000000000002,
10,Plurality,ATVA_1,5,4,"{'A': 2, 'C': 2, 'B': 1, 'D': 0}","[0.54, 1.0, 0.67, 0.58, 1.0]",3.79,[1],"[0.07, 0.01, 0.05, 0.07, 0.01]",0.039999999999999925,"[(1, 3), (1, 4)]"
11,Plurality,ATVA_1,5,4,"{'C': 2, 'D': 2, 'B': 1, 'A': 0}","[0.58, 0.58, 0.79, 1.0, 1.0]",3.95,[],"[0.06, 0.05, 0.03, 0.03, 0.04]",0,"[(1, 3)]"
12,Plurality,ATVA_1,5,4,"{'B': 4, 'D': 1, 'A': 0, 'C': 0}","[1.0, 1.0, 0.58, 1.0, 1.0]",4.58,[],"[0.03, 0.04, 0.06, 0.03, 0.03]",0,
13,Plurality,ATVA_1,5,4,"{'B': 2, 'C': 2, 'D': 1, 'A': 0}","[1.0, 0.5, 0.79, 1.0, 0.58]",3.87,[],"[0.0, 0.08, 0.03, 0.04, 0.07]",0,
14,Plurality,ATVA_1,5,4,"{'C': 2, 'D': 2, 'B': 1, 'A': 0}","[1.0, 0.67, 1.0, 0.88, 0.75]",4.3,[],"[0.01, 0.05, 0.01, 0.01, 0.04]",0,
15,Plurality,ATVA_1,5,4,"{'D': 2, 'A': 1, 'B': 1, 'C': 1}","[0.67, 0.5, 0.54, 1.0, 1.0]",3.71,[2],"[0.05, 0.09, 0.07, 0.01, 0.03]",0.040000000000000036,"[(2, 3), (1, 2)]"
